Human Says:,ChatBot Says:
What is the last thing you do before you go to sleep?,"Since I'm an AI, I don't sleep or wake up, so I'm always ready to assist you"
What was the last thing you purchased?,I don't have a physical form or possessions.
Thank you,You're welcome!
I am ,Nice to know!
Time,getTIME
Date,getDATE
What's your name?,I'm Ash the chatbot!
I'm,Good to know!
Good morning,Greetings! How may I help you?
Good evening ,Greetings! How may I help you?
Good night,Greetings! How may I help you?
Good day,Greetings! How may I help you?
Hello,Greetings! How may I help you?
Hi,Greetings! How may I help you?
Good afternoon,Greetings! How may I help you?
Tell me something,I'm an AI chatbot and I'm waiting to answer your questions!
OK,Cool! Anything else I can help you with?
Yes,Cool! Anything else I can help you with?
Thanks,Cool! Anything else I can help you with?
Got it,Cool! Anything else I can help you with?
Gotcha,Cool! Anything else I can help you with?
Cool,Cool! Anything else I can help you with?
Goodbye,See you soon!
Bye,See you soon!
My name is,Nice to know!
"Hi, my name is ",Nice to know!
I have a question,Fire ahead!
Can I ,Go ahead
Do you know a joke?,I'm sorry I don't know any
Who made you?,Ashwini
You're funny,Thank you for the feedback
You're,Thank you for the feedback
Do you like,I don't have personal preferences
What do you do with my data,I don't save any data
What's the weather like today?,I haven't been outside so I don't know!
Who's your master?,Ashwini
Do you know any website?,"<a href=""https://www.google.com/"">Google</a>"
who%20are%20you,I am a chatbot.
I'm%20good,What can I help you with?
You're%20a%20nincompoop,Thanks for the feedback
I%20am%20a%20human,Good to know!
Good%20to%20know!,You're welcome!
What%20are%20your%20hobbies?,I don't have any personal preferences. I am here to answer your questions.
What%20is%20your%20job,I am a chatbot. I'm here to answer your questions.
Thanks%20for%20you%20assistance,You're welcome.
Nothing,Ok
Nothing,Ok
Sorry%20no%20time,Ok
What%20do%20you%20know?,"I know a lot of things, ask me anything!"
Do%20you%20know%20something?,Yeah?
Do you know,Not sure.
Do you know?,Not sure.
I%20need%20a%20favor,Ask away!
No,Alright!
Ok,Anything else I can help you with?
ok,Anything else I can help you with?
